"Id","date","total_steps","total_distance","tracker_distance","calories","very_active_distance","light_active_distance","sedentary_active_distance","very_active_min","sedentary_minutes","Weight_kg","IMC","manual_report","sleep_record","min_asleep","time_bed"
1503960366,2016-04-12,13162,8.5,8.5,1985,1.879999995,6.059999943,0,25,728,NA,NA,NA,1,327,346
1503960366,2016-04-13,10735,6.96999979,6.96999979,1797,1.570000052,4.710000038,0,21,776,NA,NA,NA,2,384,407
1503960366,2016-04-14,10460,6.739999771,6.739999771,1776,2.440000057,3.910000086,0,30,1218,NA,NA,NA,NA,NA,NA
1503960366,2016-04-15,9762,6.28000021,6.28000021,1745,2.140000105,2.829999924,0,29,726,NA,NA,NA,1,412,442
1503960366,2016-04-16,12669,8.159999847,8.159999847,1863,2.710000038,5.039999962,0,36,773,NA,NA,NA,2,340,367
1503960366,2016-04-17,9705,6.480000019,6.480000019,1728,3.190000057,2.50999999,0,38,539,NA,NA,NA,1,700,712
1503960366,2016-04-18,13019,8.590000153,8.590000153,1921,3.25,4.710000038,0,42,1149,NA,NA,NA,NA,NA,NA
1503960366,2016-04-19,15506,9.880000114,9.880000114,2035,3.529999971,5.03000021,0,50,775,NA,NA,NA,1,304,320
1503960366,2016-04-20,10544,6.679999828,6.679999828,1786,1.960000038,4.239999771,0,28,818,NA,NA,NA,1,360,377
1503960366,2016-04-21,9819,6.340000153,6.340000153,1775,1.340000033,4.650000095,0,19,838,NA,NA,NA,1,325,364
1503960366,2016-04-22,12764,8.130000114,8.130000114,1827,4.760000229,2.24000001,0,66,1217,NA,NA,NA,NA,NA,NA
1503960366,2016-04-23,14371,9.039999962,9.039999962,1949,2.809999943,5.360000134,0,41,732,NA,NA,NA,1,361,384
1503960366,2016-04-24,10039,6.409999847,6.409999847,1788,2.920000076,3.279999971,0,39,709,NA,NA,NA,1,430,449
1503960366,2016-04-25,15355,9.800000191,9.800000191,2013,5.289999962,3.940000057,0,73,814,NA,NA,NA,1,277,323
1503960366,2016-04-26,13755,8.789999962,8.789999962,1970,2.329999924,5.539999962,0,31,833,NA,NA,NA,1,245,274
1503960366,2016-04-27,18134,12.21000004,12.21000004,2159,6.400000095,5.409999847,0,78,1108,NA,NA,NA,NA,NA,NA
1503960366,2016-04-28,13154,8.529999733,8.529999733,1898,3.539999962,3.789999962,0,48,782,NA,NA,NA,1,366,393
1503960366,2016-04-29,11181,7.150000095,7.150000095,1837,1.059999943,5.579999924,0,16,815,NA,NA,NA,1,341,354
1503960366,2016-04-30,14673,9.25,9.25,1947,3.559999943,4.269999981,0,52,712,NA,NA,NA,1,404,425
1503960366,2016-05-01,10602,6.809999943,6.809999943,1820,2.289999962,2.920000076,0,33,730,NA,NA,NA,1,369,396
1503960366,2016-05-02,14727,9.710000038,9.710000038,2004,3.210000038,5.920000076,0,41,798,52.59999847,22.64999962,TRUE,1,277,309
1503960366,2016-05-03,15103,9.659999847,9.659999847,1990,3.730000019,4.880000114,0,50,816,52.59999847,22.64999962,TRUE,1,273,296
1503960366,2016-05-04,11100,7.150000095,7.150000095,1819,2.460000038,3.819999933,0,36,1179,NA,NA,NA,NA,NA,NA
1503960366,2016-05-05,14070,8.899999619,8.899999619,1959,2.920000076,4.880000114,0,45,857,NA,NA,NA,1,247,264
